"football_name","school_name"
"Boston College","Boston College"
"Virginia Military Institute","Virginia Military Institute"
"Abilene Christian","Abilene Christian University"
"Alabama A&M","Alabama A & M University"
"Alabama State","Alabama State University"
"Alcorn State","Alcorn State University"
"Appalachian State","Appalachian State University"
"Arizona State","Arizona State University-Tempe"
"Ball State","Ball State University"
"Bethune-Cookman","Bethune-Cookman University"
"Boise State","Boise State University"
"Bowling Green State","Bowling Green State University-Main Campus"
"Brigham Young","Brigham Young University-Provo"
"Bucknell","Bucknell University"
"Campbell","Campbell University"
"Central Michigan","Central Michigan University"
"Charleston Southern","Charleston Southern University"
"Coastal Carolina","Coastal Carolina University"
"Delaware State","Delaware State University"
"Duquesne","Duquesne University"
"East Carolina","East Carolina University"
"Eastern Illinois","Eastern Illinois University"
"Eastern Kentucky","Eastern Kentucky University"
"Eastern Michigan","Eastern Michigan University"
"Eastern Washington","Eastern Washington University"
"Florida Atlantic","Florida Atlantic University"
"Florida International","Florida International University"
"Florida State","Florida State University"
"Gardner-Webb","Gardner-Webb University"
"Georgia Southern","Georgia Southern University"
"Georgia State","Georgia State University"
"Grambling State","Grambling State University"
"Idaho State","Idaho State University"
"Illinois State","Illinois State University"
"Indiana State","Indiana State University"
"Iowa State","Iowa State University"
"Jackson State","Jackson State University"
"Jacksonville State","Jacksonville State University"
"James Madison","James Madison University"
"Kansas State","Kansas State University"
"Louisiana Tech","Louisiana Tech University"
"Marshall","Marshall University"
"McNeese State","McNeese State University"
"Michigan State","Michigan State University"
"Middle Tennessee State","Middle Tennessee State University"
"Mississippi State","Mississippi State University"
"Mississippi Valley State","Mississippi Valley State University"
"Monmouth","Monmouth University"
"Montana State","Montana State University"
"Morgan State","Morgan State University"
"Murray State","Murray State University"
"New Mexico State","New Mexico State University-Main Campus"
"Nicholls State","Nicholls State University"
"Norfolk State","Norfolk State University"
"North Carolina A&T","North Carolina A & T State University"
"North Carolina Central","North Carolina Central University"
"North Carolina State","North Carolina State University at Raleigh"
"North Dakota State","North Dakota State University-Main Campus"
"Northern Arizona","Northern Arizona University"
"Northern Illinois","Northern Illinois University"
"Northwestern","Northwestern University"
"Northwestern Oklahoma State","Northwestern Oklahoma State University"
"Northwestern State","Northwestern State University of Louisiana"
"Old Dominion","Old Dominion University"
"Oregon State","Oregon State University"
"Portland State","Portland State University"
"Prairie View A&M","Prairie View A & M University"
"Presbyterian","Presbyterian College"
"Sam Houston State","Sam Houston State University"
"San Diego State","San Diego State University"
"San Jose State","San Jose State University"
"Savannah State","Savannah State University"
"South Carolina State","South Carolina State University"
"South Dakota State","South Dakota State University"
"Southeast Missouri State","Southeast Missouri State University"
"Southeastern Louisiana","Southeastern Louisiana University"
"Southern Illinois","Southern Illinois University-Carbondale"
"Southern Methodist","Southern Methodist University"
"Southern Utah","Southern Utah University"
"Stanford","Stanford University"
"Stephen F. Austin","Stephen F Austin State University"
"Stony Brook","Stony Brook University"
"Syracuse","Syracuse University"
"Tennessee State","Tennessee State University"
"Tennessee Tech","Tennessee Technological University"
"Texas Christian","Texas Christian University"
"Texas Southern","Texas Southern University"
"Texas State","Texas State University"
"Texas Tech","Texas Tech University"
"Utah State","Utah State University"
"Vanderbilt","Vanderbilt University"
"Villanova","Villanova University"
"Wagner","Wagner College"
"Wake Forest","Wake Forest University"
"Washington State","Washington State University"
"Weber State","Weber State University"
"West Virginia","West Virginia University"
"Western Carolina","Western Carolina University"
"Western Illinois","Western Illinois University"
"Western Kentucky","Western Kentucky University"
"Western Michigan","Western Michigan University"
"Wofford","Wofford College"
"Youngstown State","Youngstown State University"
"Alabama","The University of Alabama"
"Arkansas State","Arkansas State University-Main Campus"
"Auburn","Auburn University"
"Austin Peay","Austin Peay State University"
"Baylor","Baylor University"
"Citadel","Citadel Military College of South Carolina"
"Clemson","Clemson University"
"Colgate","Colgate University"
"Colorado State","Colorado State University-Fort Collins"
"Duke","Duke University"
"Elon","Elon University"
"Fordham","Fordham University"
"Furman","Furman University"
"Georgia Tech","Georgia Institute of Technology-Main Campus"
"Hampton","Hampton University"
"Howard","Howard University"
